Attempt;Connect;Waiting;Processing;Total;
1;21.1;8.0;8.1;26.3;
2;54.5;42.8;195.8;204.6;
3;243.4;24.7;166.6;293.1;
4;58.1;30.2;65.8;96.7;
5;123.1;8.0;8.1;123.5;
6;127.0;41.9;195.2;237.9;
7;20.4;34.6;63.1;65.1;
8;124.5;28.8;63.3;142.1;
9;154.3;45.1;209.5;264.5;
10;102.6;23.0;60.6;123.3;
11;33.4;32.4;32.4;61.9;
12;75.9;30.5;64.0;106.4;
13;167.8;28.7;28.7;171.9;
14;102.9;22.5;130.9;170.9;
15;32.5;46.9;123.3;139.1;
16;91.1;34.6;65.9;119.0;
17;28.1;33.2;88.3;101.2;
18;47.9;5.4;5.5;49.2;
19;21.5;6.3;6.4;24.5;
20;58.3;30.8;31.1;76.4;
21;5.1;6.3;6.3;10.7;
22;58.0;30.6;116.6;137.6;
23;4.8;4.8;4.8;9.3;
24;5.0;6.1;45.6;46.3;
25;6.7;6.4;6.4;12.5;
26;20.5;6.8;6.9;24.3;
27;22.2;6.4;6.5;25.9;
28;22.6;7.9;7.9;27.9;
29;4.9;7.0;7.1;11.4;
30;9.4;21.9;51.3;55.8;
31;4.9;6.1;6.2;10.3;
32;6.1;6.1;6.1;12.0;
33;6.2;22.6;22.9;27.2;
34;6.8;19.4;19.7;22.6;
35;5.9;5.9;5.9;11.6;
36;5.8;6.5;6.5;12.0;
37;5.8;6.0;6.1;11.7;
38;9.7;8.1;8.0;17.1;
39;33.5;23.6;23.7;53.3;
40;5.9;33.3;134.5;134.3;
41;20.6;22.8;23.0;43.3;
42;238.5;18.0;119.0;265.6;
43;5.9;6.5;6.6;12.2;
44;72.8;7.1;7.1;74.0;
45;9.1;6.6;6.6;14.7;
46;5.0;5.4;5.4;10.1;
47;279.6;11.0;11.2;278.4;
48;21.9;28.1;59.9;65.7;
49;4.7;4.7;4.7;9.2;
50;5.1;6.2;6.4;10.8;
51;21.8;5.9;5.9;24.6;
52;5.2;5.4;5.4;10.4;
53;19.5;60.8;72.3;75.6;
54;7.2;13.9;47.9;48.9;
55;5.1;5.5;5.5;10.3;
56;5.2;6.2;6.4;11.3;
57;126.2;12.7;12.7;127.3;
58;5.1;10.5;10.7;14.5;
59;5.1;5.3;49.4;50.6;
60;4.9;5.0;5.0;9.7;
61;5.8;13.1;13.1;16.1;
62;21.8;27.3;64.4;77.4;
63;21.0;19.1;58.9;67.8;
64;4.7;5.1;5.1;9.6;
65;6.9;6.7;6.9;13.7;
66;5.8;6.0;6.0;11.7;
67;6.1;6.1;6.2;12.0;
68;6.8;6.5;6.6;12.7;
69;5.9;6.4;6.4;11.5;
70;5.9;6.3;6.4;11.8;
71;24.9;6.4;6.4;27.9;
72;5.8;7.5;7.7;12.9;
73;47.0;5.2;5.2;47.4;
74;16.3;6.2;6.2;19.7;
75;6.0;7.1;7.2;12.8;
76;6.6;6.8;6.9;13.3;
77;6.0;7.1;7.2;12.9;
78;6.6;6.0;6.1;12.2;
79;6.3;6.3;6.3;12.2;
80;4.7;5.2;5.3;9.7;
81;4.9;5.0;5.0;9.5;
82;70.5;6.7;6.8;71.8;
83;5.2;6.5;6.6;10.7;
84;14.8;5.3;5.3;17.8;
85;102.2;36.7;82.7;134.0;
86;4.9;4.9;4.9;9.7;
87;136.2;59.6;92.9;162.3;
88;75.1;34.1;87.9;118.3;
89;5.7;5.7;5.6;11.2;
90;55.1;9.3;9.5;61.0;
91;31.5;34.6;86.9;102.9;
92;6.2;5.0;5.0;10.4;
93;76.0;23.5;23.6;87.5;
94;28.6;23.8;24.2;48.6;
95;4.7;5.0;5.0;9.6;
96;6.7;7.0;7.1;13.3;
97;5.8;6.9;7.0;12.3;
98;5.8;6.6;6.6;12.1;
99;123.3;20.8;21.1;127.0;
100;89.9;27.0;64.3;116.9;
